AAA-Beschreibung,AmtlicheFlaeche,Flurstuecks_kennzOhneFolge,Gemarkung_name,Gemeindekennzeichen,ZeitpunktDerEntstehung,alias
AX_Flurstueck,3517,11000700400656____,Charlottenburg,11000004,19800101,F10__12645
AX_Flurstueck,566,110007010014660075,Charlottenburg,11000004,19300101,F10__12646
AX_Flurstueck,1259,110007004002470002,Charlottenburg,11000004,19520101,F10__12647
AX_Flurstueck,1039,110007004033950269,Charlottenburg,11000004,18970101,F10__12650
AX_Flurstueck,652,110007011028290069,Charlottenburg,11000004,19240101,F10__12658
AX_Flurstueck,643,11000700400918____,Charlottenburg,11000004,19840101,F10__12672
AX_Flurstueck,429,110007004018410254,Charlottenburg,11000004,18870101,F10__12678
AX_Flurstueck,611,11000700401087____,Charlottenburg,11000004,19940101,F10__12681
AX_Flurstueck,945,110007011009240126,Charlottenburg,11000004,18920101,F10__12683
AX_Flurstueck,2317,110007005001710001,Charlottenburg,11000004,19730101,F10__12686
AX_Flurstueck,2,110007005000480007,Charlottenburg,11000004,19730101,F10__12687
AX_Flurstueck,8176,11000701200372____,Charlottenburg,11000004,19990101,F10__12711
AX_Flurstueck,1303,11000700500658____,Charlottenburg,11000004,19960101,F10__12729
AX_Flurstueck,1463,110007004002470005,Charlottenburg,11000004,19570101,F10__12738
AX_Flurstueck,281,11000700600327____,Charlottenburg,11000004,20010101,F10__12778
AX_Flurstueck,20,11000700400913____,Charlottenburg,11000004,19830101,F10__12785
AX_Flurstueck,3306,110007004002470008,Charlottenburg,11000004,19620101,F10__12791
AX_Flurstueck,780,11000700500668____,Charlottenburg,11000004,19970101,F10__12801
AX_Flurstueck,2480,110007004002430005,Charlottenburg,11000004,19630101,F10__12811
AX_Flurstueck,35,11000700600437____,Charlottenburg,11000004,20130101,F10__12815
AX_Flurstueck,384,11000700600318____,Charlottenburg,11000004,20010101,F10__12818
AX_Flurstueck,10,11000700500706____,Charlottenburg,11000004,20020101,F10__12820
AX_Flurstueck,26615,11000701000311____,Charlottenburg,11000004,19880101,F10__12822
AX_Flurstueck,4380,11000700500335____,Charlottenburg,11000004,19810101,F10__12824
AX_Flurstueck,937,110007011001260002,Charlottenburg,11000004,19530101,F10__12826
AX_Flurstueck,1974,11000700600247____,Charlottenburg,11000004,19860101,F10__12839
AX_Flurstueck,1118,110007004002400012,Charlottenburg,11000004,19520101,F10__12841
AX_Flurstueck,3972,110007011001040002,Charlottenburg,11000004,19620101,F10__12843
AX_Flurstueck,3306,11000700500277____,Charlottenburg,11000004,19780101,F10__12850
AX_Flurstueck,3085,110007005002090003,Charlottenburg,11000004,19650101,F10__12858
AX_Flurstueck,997,11000700500637____,Charlottenburg,11000004,19940101,F10__12868
AX_Flurstueck,1547,11000701100184____,Charlottenburg,11000004,19770101,F10__12905
AX_Flurstueck,1456,11000700500639____,Charlottenburg,11000004,19940101,F10__12908
AX_Flurstueck,23,11000700500492____,Charlottenburg,11000004,19880101,F10__12913
AX_Flurstueck,43547,11000701000498____,Charlottenburg,11000004,20130101,F10__12921
AX_Flurstueck,788,110007010014510075,Charlottenburg,11000004,19300101,F10__12925
AX_Flurstueck,7237,110007011000660006,Charlottenburg,11000004,19730101,F10__12928
AX_Flurstueck,240,110007004055850254,Charlottenburg,11000004,19140101,F10__12931
AX_Flurstueck,10633,110007004003330044,Charlottenburg,11000004,19710101,F10__12939
AX_Flurstueck,1351,110007005056550049,Charlottenburg,11000004,19070101,F10__12963
AX_Flurstueck,331,11000700600304____,Charlottenburg,11000004,20000101,F10__12967
AX_Flurstueck,13551,110007004002450001,Charlottenburg,11000004,19670101,F10__12975
AX_Flurstueck,509,11000700600363____,Charlottenburg,11000004,20020101,F10__12997
AX_Flurstueck,478,110007005056280213,Charlottenburg,11000004,19070101,F10__13003
AX_Flurstueck,6236,11000700600429____,Charlottenburg,11000004,20080101,F10__13035
AX_Flurstueck,1142,110007011032530108,Charlottenburg,11000004,19410101,F10__13042
AX_Flurstueck,27,110007006008850040,Charlottenburg,11000004,19160101,F10__13046
AX_Flurstueck,17936,11000701100353____,Charlottenburg,11000004,19880101,F10__13047
AX_Flurstueck,4377,110007005001920005,Charlottenburg,11000004,19580101,F10__13048
AX_Flurstueck,11002,11000701100417____,Charlottenburg,11000004,20090101,F10__13050
AX_Flurstueck,2568,110007011001280015,Charlottenburg,11000004,19650101,F10__13051
AX_Flurstueck,2389,110007006000780001,Charlottenburg,11000004,19690101,F10__13065
AX_Flurstueck,3082,11000700500498____,Charlottenburg,11000004,19880101,F10__13067
AX_Flurstueck,1926,110007011000920002,Charlottenburg,11000004,19430101,F10__13073
AX_Flurstueck,985,110007005057610212,Charlottenburg,11000004,19070101,F10__13087
AX_Flurstueck,3009,11000701100336____,Charlottenburg,11000004,19840101,F10__13092
AX_Flurstueck,347,110007004002540017,Charlottenburg,11000004,19560101,F10__13097
AX_Flurstueck,5407,11000701100365____,Charlottenburg,11000004,19880101,F10__13104
AX_Flurstueck,743,110007005056350213,Charlottenburg,11000004,19070101,F10__13119
AX_Flurstueck,6290,11000701100185____,Charlottenburg,11000004,19770101,F10__13130
AX_Flurstueck,94,11000700600417____,Charlottenburg,11000004,20060101,F10__13133
AX_Flurstueck,1955,11000700600223____,Charlottenburg,11000004,19810101,F10__13143
AX_Flurstueck,589,110007006005960040,Charlottenburg,11000004,18930101,F10__13147
AX_Flurstueck,509,110007010014390075,Charlottenburg,11000004,19300101,F10__13148
AX_Flurstueck,9748,11000700500316____,Charlottenburg,11000004,19800101,F10__13151
AX_Flurstueck,580,110007010015800075,Charlottenburg,11000004,19320101,F10__13165
AX_Flurstueck,654,110007004018380254,Charlottenburg,11000004,18870101,F10__13169
