AAA-Beschreibung,Beschreibung_schluessel,Bewuchs_bezeichnung,alias
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11895
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11898
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11900
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11902
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11908
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11910
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11917
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11919
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11926
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11929
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11934
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11936
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11948
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11950
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11952
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11954
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11958
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11962
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11964
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11966
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11973
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11985
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11986
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11988
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11997
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12001
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12002
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12004
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12006
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12018
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12029
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12032
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12033
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12041
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12044
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12054
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12056
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12057
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12059
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12061
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12062
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12063
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12066
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12067
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12068
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12070
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12073
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12090
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12091
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12092
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12101
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12110
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12111
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12113
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12115
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12122
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12124
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12127
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12138
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12139
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12143
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12148
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12150
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12151
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12152
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12158
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12159
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12164
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12165
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12166
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12177
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12182
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12186
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12192
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12193
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12204
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12207
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12211
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12212
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12213
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12214
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12215
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12221
AX_Vegetationsmerkmal,9998,Laubbaum,F7__12223
