ELEM_NR,STRSCHL,STR_NAME,STRKLASSE1,STRKLASSE,STRKLASSE2,VRICHT,BEZIRK,STADTTEIL,EBENE,VON_VP,BIS_VP,LAENGE,GILT_VON,OKSTRA_ID,alias,STR_BEZ
42550010_42550011.02,00625,Bochumer Straße,V,G,STRA,B,Mitte,Moabit,0,42550010,42550011,191.37,20141204,9E00D335510B456B906E99E592A2389F,Bochumer Straße,
42550005_42550010.02,00625,Bochumer Straße,V,G,STRA,B,Mitte,Moabit,0,42550005,42550010,186.76,20141204,7F39D155B4F54E86B74EA97508F50B0F,Bochumer Straße,
42550006_42550021.02,02580,Krefelder Straße,V,G,STRA,B,Mitte,Moabit,0,42550006,42550021,200.25,20141204,1AEE07721BAC45E888C5223ABD389004,Krefelder Straße,
42550010_42550021.02,01207,Essener Straße,V,G,STRA,B,Mitte,Moabit,0,42550010,42550021,110.25,20141204,1FC3A5DE9C3F4AD490633CB8F55B097A,Essener Straße,
42550021_42550022.02,01207,Essener Straße,V,G,STRA,B,Mitte,Moabit,0,42550021,42550022,193.91,20141204,E1FCA0A86D084C288330401DBC6193E4,Essener Straße,
42550021_42550016.02,02580,Krefelder Straße,V,G,STRA,B,Mitte,Moabit,0,42550021,42550016,128.37,20141204,57A41C0E1ADC452CA7EB4A2DFDCB91B9,Krefelder Straße,
42550016_42550053.01,00807,Bundesratufer,V,G,STRA,B,Mitte,Moabit,0,42550016,42550053,123.8089,20141204,77FE5D78E7CC428290A29540311EA1BA,Bundesratufer,
42550053_42550017.01,00807,Bundesratufer,V,F,FUWE,B,Mitte,Moabit,0,42550053,42550017,40.13,20141204,5B0F6E413B30410C83F3C05BEF25F508,Bundesratufer,
42550011_42550016.02,00807,Bundesratufer,V,G,STRA,B,Mitte,Moabit,0,42550011,42550016,141.64,20141204,57D6815E21974E89A0B713A89E27A805,Bundesratufer,
41550001_41550019.01,04851,Wikingerufer,V,G,STRA,B,Mitte,Moabit,0,41550001,41550019,149.9,20141204,51C1B5A14666447DA66DF7243B3CB89D,Wikingerufer,
41550002_41550017.02,02219,Jagowstraße,V,G,STRA,B,Mitte,Moabit,0,41550002,41550017,112.66,20141204,1AFA03134BF84447BAEA9AB4B51BCA39,Jagowstraße,
